name,theaters,total_gross,release_date,distributor
Memory,2555,7329043,2022-04-29,Open Road Films (II)
Fall,1548,7240521,2022-08-12,Lionsgate
BTS Permission to Dance on Stage - Seoul: Live Viewing,803,6840000,2022-03-12,Trafalgar Releasing
Tár,1090,6773650,2022-10-07,Focus Features
A Journal for Jordan,2500,6545174,2022-12-25,Sony Pictures Entertainment (SPE)
Marcel the Shell with Shoes On,821,6333702,2022-06-24,A24
She Said,2023,5825995,2022-11-18,Universal Pictures
I Heard the Bells,1204,5644104,2022-12-01,Fathom Events
Orphan: First Kill,557,5413227,2022-08-19,Paramount Pictures
Lifemark,1531,5180537,2022-09-09,Fathom Events
Jaws2022 Re-release,1246,5100765,2022-09-02,Universal Pictures
Clerks III,5,4663106,2022-09-16,Fathom Events
Triangle of Sadness,610,4608096,2022-10-07,Neon
The Cursed,1695,4588389,2022-02-18,LD Entertainment
Vengeance,1003,4330720,2022-07-29,Focus Features
Ponniyin Selvan: Part I,500,4282000,2022-09-30,Sarigama Cinemas
Moonage Daydream,733,4218925,2022-09-16,Neon
'83,486,4055660,2022-12-23,Reliance Entertainment
Belle,1338,4018313,2022-01-14,GKIDS
Family Camp,1057,3973263,2022-05-13,Roadside Attractions
Cyrano,797,3873124,2022-02-25,United Artists Releasing
Laal Singh Chaddha,517,3401324,2022-08-11,Paramount Pictures
The Outfit,1328,3344040,2022-03-18,Focus Features
The Worst Person in the World,554,3034775,2022-02-04,Neon
K.G.F: Chapter 2,0,2874000,2022-04-15,Viva Pictures
Breaking,909,2806359,2022-08-26,Bleecker Street Media
Honk for Jesus. Save Your Soul.,1882,2561270,2022-09-02,Focus Features
Mack & Rita,1930,2540965,2022-08-12,Gravitas Premiere
Studio 666,2306,2513963,2022-02-25,Open Road Films (II)
Crimes of the Future,773,2452882,2022-06-03,Neon
Drive My Car,213,2352240,2022-11-24,Janus Films
Parallel Mothers,684,2297501,2022-12-24,Sony Pictures Classics
Gigi & Nate,1220,2280814,2022-09-02,Roadside Attractions
The Good House,1061,2219760,2022-09-30,Roadside Attractions
Decision to Leave,169,2179864,2022-10-14,MUBI
Emily the Criminal,483,2156296,2022-08-12,Roadside Attractions
Umma,805,2121025,2022-03-18,Stage 6 Films
The Wolf and the Lion,1005,2072173,2022-02-04,Blue Fox Entertainment
Jeepers Creepers: Reborn,996,2033057,2022-09-19,Fathom Events
E.T. the Extra-Terrestrial2022 Re-release,793,2030725,2022-08-12,Universal Pictures
Watcher,764,1961207,2022-06-03,IFC Films
Mr. Malcolm's List,1384,1885718,2022-07-01,Bleecker Street Media
Armageddon Time,1006,1860050,2022-10-28,Focus Features
Radhe Shyam,800,1860000,2022-03-11,-
2022 Oscar Nominated Short Films: Live Action/2022 Oscar Nominated Short Films: Animation/2022 Oscar Nominated Short Films: Documentary2022 Oscar Nominated Short Films,355,1801646,2022-02-25,ShortsTV
Vikram,465,1770000,2022-06-03,Prime Media Pictures
The King's Daughter,2170,1758963,2022-01-21,Gravitas Ventures
Aftersun,97,1658790,2022-10-21,A24
Infinite Storm,1525,1600543,2022-03-25,Bleecker Street Media
Vikram Vedha,558,1589362,2022-09-30,Reliance Entertainment
The Duke,353,1526970,2022-04-22,Sony Pictures Classics
Running the Bases,1080,1511980,2022-09-16,UP2U Films
¿Y cómo es él?,325,1500636,2022-04-22,Lionsgate
The Kashmir Files,230,1485000,2022-03-18,Zee Studios
2000 Mules,415,1465513,2022-05-20,D'Souza Media
It's a Wonderful Life75th Anniversary,960,1439643,2022-12-18,Fathom Events
The Godfather2022  Re-release,596,1414662,2022-02-25,Paramount Pictures
Spoiler Alert,783,1384003,2022-12-02,Focus Features
Medieval,1311,1374325,2022-09-09,The Avenue Entertainment
Rogue One: A Star Wars Story2022 Re-release,255,1362667,2022-08-26,Walt Disney Studios Motion Pictures
Howl's Moving Castle2022 Re-release,868,1212525,2022-09-23,Fathom Events
F3: Fun and Frustration,400,1195000,2022-05-27,-
Empire of Light,436,1177577,2022-12-09,Searchlight Pictures
Fire of Love,191,1120412,2022-07-06,Neon
After Ever Happy,1144,1072750,2022-09-07,Fathom Events
"Hallelujah: Leonard Cohen, a Journey, a Song",168,1062603,2022-07-01,Sony Pictures Entertainment (SPE)
The Contractor,489,1035265,2022-04-01,STX Entertainment
Jug Jugg Jeeyo,318,1033000,2022-06-24,-
Coldplay Music of The Spheres Live Broadcast from Buenos Aires,833,1015000,2022-10-28,Trafalgar Releasing
The Beatles: Get Back - The Rooftop Concert,179,976712,2022-01-30,IMAX
Man of God,830,920561,2022-03-21,Fathom Events
Hansan: Rising Dragon,32,865888,2022-07-29,Well Go USA Entertainment
Johnny Cash: The Redemption of an American Icon,1087,840580,2022-12-05,Fathom Events
The Tiger Rising,872,835162,2022-01-21,Variance Films
Acharya,396,832000,2022-04-29,Prime Media Pictures
Petite Maman,224,829065,2022-04-22,Neon
The Roundup,22,812859,2022-05-19,Capelight Pictures
Evangelion: 3.0+1.01 Thrice Upon a Time,745,810744,2022-12-06,Fathom Events
Star Trek II: The Wrath of Khan2022 Re-release,967,794943,2022-09-04,Fathom Events
"The Metropolitan Opera HD Live: Kevin Puts: The Hours, Libretto by Greg Pierce",826,791374,2022-12-10,Fathom Events
The Phantom of the Open,501,748695,2022-06-03,Sony Pictures Classics
Saint Michael Meet the Angel,811,643828,2022-09-29,Fathom Events
